algorithm,seed,generation,best_fitness
GA,2,48,3325.727257711579
GA,2,49,3325.727257711579
GA,3,0,3925.9427047732347
GA,3,1,3594.980300288892
GA,3,2,3582.4611231158324
GA,3,3,3575.7057035070584
GA,3,4,3575.7057035070584
GA,3,5,3492.0814780822116
GA,3,6,3481.0282222655323
GA,3,7,3481.0282222655323
GA,3,8,3481.0282222655323
GA,3,9,3479.0687955109074
GA,3,10,3467.0800086430927
GA,3,11,3467.0800086430927
GA,3,12,3467.0800086430927
GA,3,13,3461.506101966792
GA,3,14,3407.078425057409
GA,3,15,3407.078425057409
GA,3,16,3407.078425057409
GA,3,17,3387.0754243675883
GA,3,18,3387.0754243675883
GA,3,19,3387.0754243675883
GA,3,20,3387.0754243675883
GA,3,21,3380.4718575544416
GA,3,22,3380.4718575544416
GA,3,23,3282.64370469386
GA,3,24,3282.64370469386
GA,3,25,3282.64370469386
GA,3,26,3276.976929583588
GA,3,27,3273.662304131301
GA,3,28,3273.662304131301
GA,3,29,3269.660214914673
GA,3,30,3269.660214914673
GA,3,31,3269.660214914673
GA,3,32,3268.252095041071
GA,3,33,3260.751861431855
GA,3,34,3260.751861431855
GA,3,35,3259.3526277721116
GA,3,36,3258.0781174287886
GA,3,37,3258.0781174287886
GA,3,38,3258.0781174287886
GA,3,39,3257.4081787203972
GA,3,40,3257.4081787203972
GA,3,41,3257.4081787203972
GA,3,42,3257.4081787203972
GA,3,43,3255.837256144934
GA,3,44,3255.837256144934
GA,3,45,3255.837256144934
GA,3,46,3255.837256144934
GA,3,47,3255.837256144934
GA,3,48,3255.837256144934
GA,3,49,3255.837256144934
GA,4,0,4089.7155039600884
GA,4,1,3977.808991115001
GA,4,2,3977.808991115001
GA,4,3,3883.765044235246
GA,4,4,3845.7150260829376
GA,4,5,3764.5489588792516
GA,4,6,3751.9440293000607
GA,4,7,3751.9440293000607
GA,4,8,3746.7695550409007
GA,4,9,3746.7695550409007
GA,4,10,3671.4708383808884
GA,4,11,3671.4708383808884
GA,4,12,3670.3205026617898
GA,4,13,3670.3205026617898
GA,4,14,3670.3205026617898
GA,4,15,3670.3205026617898
GA,4,16,3668.304765579027
GA,4,17,3565.0719791783554
GA,4,18,3565.0719791783554
GA,4,19,3565.0719791783554
GA,4,20,3565.0719791783554
GA,4,21,3563.8060971492896
GA,4,22,3563.8060971492896
GA,4,23,3563.8060971492896
GA,4,24,3563.275770128998
GA,4,25,3563.275770128998
GA,4,26,3557.16679409612
GA,4,27,3557.16679409612
GA,4,28,3557.16679409612
GA,4,29,3556.518311731829
GA,4,30,3556.518311731829
GA,4,31,3554.895857494358
GA,4,32,3554.895857494358
GA,4,33,3554.895857494358
GA,4,34,3554.895857494358
GA,4,35,3554.895857494358
GA,4,36,3552.9291827557718
GA,4,37,3552.9291827557718
GA,4,38,3552.484978508525
GA,4,39,3552.484978508525
GA,4,40,3552.484978508525
GA,4,41,3552.2444355434172
GA,4,42,3552.2444355434172
GA,4,43,3551.82886936233
GA,4,44,3551.82886936233
GA,4,45,3551.82886936233
GA,4,46,3551.82886936233
GA,4,47,3551.82886936233
GA,4,48,3551.82886936233
GA,4,49,3550.588632004538
GA,5,0,4384.196943149223
GA,5,1,4384.196943149223
