algorithm,seed,generation,best_fitness
SA,1,2,3866.6849083519583
SA,1,3,3862.48777115026
SA,1,4,3824.4598523126333
SA,1,5,3824.4598523126333
SA,1,6,3824.4598523126333
SA,1,7,3798.5054425616227
SA,1,8,3685.0221076418056
SA,1,9,3685.0221076418056
SA,1,10,3604.8757635436755
SA,1,11,3601.342819269242
SA,1,12,3601.342819269242
SA,1,13,3601.342819269242
SA,1,14,3601.342819269242
SA,1,15,3601.342819269242
SA,1,16,3601.342819269242
SA,1,17,3590.576607569929
SA,1,18,3590.576607569929
SA,1,19,3453.106726017156
SA,1,20,3444.950173337872
SA,1,21,3358.064783329358
SA,1,22,3310.672904310978
SA,1,23,3310.672904310978
SA,1,24,3310.672904310978
SA,1,25,3310.672904310978
SA,1,26,3305.931426678465
SA,1,27,3305.931426678465
SA,1,28,3305.931426678465
SA,1,29,3305.931426678465
SA,1,30,3305.931426678465
SA,1,31,3305.931426678465
SA,1,32,3305.931426678465
SA,1,33,3305.931426678465
SA,1,34,3305.931426678465
SA,1,35,3305.931426678465
SA,1,36,3305.931426678465
SA,1,37,3305.931426678465
SA,1,38,3305.931426678465
SA,1,39,3305.931426678465
SA,1,40,3305.931426678465
SA,1,41,3305.931426678465
SA,1,42,3305.931426678465
SA,1,43,3305.931426678465
SA,1,44,3305.931426678465
SA,1,45,3305.931426678465
SA,1,46,3305.931426678465
SA,1,47,3305.931426678465
SA,1,48,3305.931426678465
SA,1,49,3305.931426678465
SA,2,0,4714.495858791521
SA,2,1,4149.299456894029
SA,2,2,4128.304965984682
SA,2,3,3985.153053091804
SA,2,4,3879.8343501547747
SA,2,5,3879.5587140162033
SA,2,6,3865.796418591861
SA,2,7,3865.796418591861
SA,2,8,3850.573053257004
SA,2,9,3840.187879826025
SA,2,10,3840.187879826025
SA,2,11,3462.0976324648645
SA,2,12,3462.0976324648645
SA,2,13,3462.0976324648645
SA,2,14,3462.0976324648645
SA,2,15,3462.0976324648645
SA,2,16,3462.0976324648645
SA,2,17,3462.0976324648645
SA,2,18,3462.0976324648645
SA,2,19,3462.0976324648645
SA,2,20,3455.8957519786013
SA,2,21,3263.7462361640155
SA,2,22,3263.691360163038
SA,2,23,3263.691360163038
SA,2,24,3263.691360163038
SA,2,25,3263.691360163038
SA,2,26,3262.2753915508983
SA,2,27,3262.2753915508983
