size,algorithm,seed,best_fitness,runtime_s,C1,C2,C3,penalty1,penalty2,infeasibility,n_unserved
medium,QGA,4,866.2293890198487,1.3872019997797906,94.14617450922601,224.90439078769518,263.6588782615426,0.0,698.9532088766186,0.0,0
medium,QGA,5,1190.2287787108207,1.3765556998550892,112.72498373290672,224.64457985345172,142.77115640223167,202.98120405292883,834.9374775549567,0.0,0
medium,QGA,6,1071.8290495660528,1.4106495999731123,90.74866395256697,226.034406813895,292.37994587835834,0.0,900.1684063699292,0.0,0
medium,QGA,7,1091.3481698356773,1.433745900169015,90.74866395256697,198.56878048249857,171.44796858439324,92.92331440684507,859.1902955909204,0.0,0
medium,QGA,8,988.6821468972718,1.4774226997978985,94.14617450922601,213.08173790348542,186.17716483855267,0.0,840.4491053039026,0.0,0
medium,QGA,9,1025.8731295778075,1.4074737001210451,77.65199662474876,228.7448507004656,182.49185588205393,0.0,881.9253048788827,0.0,0
medium,Q2GA,0,591.3059718929202,3.2522812001407146,86.77075661113408,223.21704618395995,191.28497879890483,0.0,442.6984839723842,0.0,0
medium,Q2GA,1,753.5214273169524,3.2646272997371852,86.77075661113408,210.1335526256093,192.41878015478872,0.0,608.6122271927449,0.0,0
medium,Q2GA,2,1135.1843007257949,3.2912980997934937,129.8907901768172,221.1317009462619,194.48324151035138,130.11103612979383,834.8917109216436,0.0,0
medium,Q2GA,3,1032.4813765760287,3.2308527999557555,114.06865081095405,214.77615123633055,186.70080266717133,67.55790670235186,806.1161385638662,0.0,0
medium,Q2GA,4,785.4997280198501,3.282575000077486,94.14617450922601,207.4089401756895,285.43197974243276,0.0,619.1175627640437,0.0,0
medium,Q2GA,5,1141.3965222628476,3.3463842002674937,94.14617450922601,239.90319187805682,179.03380387573506,161.63184805637462,824.9138686132958,0.0,0
medium,Q2GA,6,716.6456345007066,3.262685399968177,88.40309131558246,195.1743643858906,246.40942890001946,0.0,564.6098937471443,0.0,0
medium,Q2GA,7,1076.7834619378903,3.296095000114292,90.74866395256697,212.49697973837397,189.67893796534338,0.0,929.7242484470258,0.0,0
medium,Q2GA,8,984.7970486214069,3.3266678997315466,88.40309131558246,221.65499199383947,182.82367321460978,0.0,837.5342707225419,0.0,0
medium,Q2GA,9,1057.288933734259,3.255195399746299,94.14617450922601,219.45620052928098,182.52686496548063,18.20908979800066,889.6645235297649,0.0,0
large,GA,0,14161.704488634192,2.820876999758184,233.61275849640657,312.75760341356545,187.28643488823587,1822.5901266388746,6091.0234147453975,6000.0,0
large,GA,1,13277.379488683624,2.8040682999417186,235.9805814293059,342.05059654287936,225.15930076078035,2578.4399657330096,4433.302193120941,6000.0,0
large,GA,2,14394.651495049857,2.7915461999364197,241.4294668989976,339.58553497699944,159.4637626786241,3912.338391646089,4227.829956925445,6000.0,0
large,GA,3,12370.895163001152,2.712201200425625,164.1082847249153,326.0340871674431,262.223648902898,600.5876924506597,5537.998372257222,6000.0,0
large,GA,4,13365.015679650049,2.7026388002559543,193.21360358408282,350.56561011142225,193.3172364597766,1609.0782899559902,5515.4974575766355,6000.0,0
large,GA,5,12885.086878475153,2.7398794000037014,205.2680001690445,301.5809582491785,176.57549472887666,2346.9531774490465,4309.710314521055,6000.0,0
large,GA,6,13193.717467785555,2.794125000014901,197.91316235490382,324.45331539833296,278.89214639081416,1949.116819006308,4992.5296437041325,6000.0,0
large,GA,7,12882.436114225742,2.8098638001829386,201.61900156520798,330.0720717761923,165.47666432877435,1236.4308015269753,5413.07885751755,6000.0,0
large,GA,8,13143.755942435277,2.8633941002190113,263.7377040476023,300.0014915299916,185.80788390115126,3918.1005217464626,2966.624544425786,6000.0,0
large,GA,9,14036.486454122769,2.8610227000899613,223.65310279953172,338.0538611529641,296.7524475260853,3381.3907722572726,4382.502482614625,6000.0,0
large,SA,0,13702.009363797564,2.766821200028062,180.68268275595767,367.72571501578045,163.04290713281324,2484.683887520021,4984.057838968268,6000.0,0
large,SA,1,12090.399431762993,2.7505139000713825,208.5450355342445,299.11364030805106,241.034407592832,1388.5393368172438,4459.646603567645,6000.0,0
large,SA,2,11721.863435366955,2.7720873998478055,180.3329671773154,334.33599470140757,166.74472843162147,710.6747034855028,4787.372504196049,6000.0,0
large,SA,3,13211.610924127948,2.7435583998449147,176.27096881369042,329.668758349065,154.08828853981532,1590.78239526359,5402.974759244829,6000.0,0
large,SA,4,12076.862036594277,2.7728989999741316,214.57441322296432,298.9001815909277,120.59031282384923,1479.783641352733,4376.003071588013,6000.0,0
large,SA,5,12266.419341700475,2.76639759959653,175.72629389246043,348.28381758438894,175.7670431023007,654.1519824864321,5384.765658372035,6000.0,0
large,SA,6,13539.63656409011,2.7088331999257207,231.65844168227108,331.7293443510859,200.22559862178204,2188.8676396284736,5095.375780590819,6000.0,0
large,SA,7,12190.76409354099,2.7283737999387085,209.48055625055184,324.2503776028984,175.30009877150377,1630.6050054001241,4323.08367698042,6000.0,0
large,SA,8,12793.120808138718,2.754054599907249,185.27854135395523,320.1290314821671,182.08705566867744,1049.498164289566,5518.527252593788,6000.0,0
large,SA,9,12447.909611954019,2.7132792002521455,175.46818874101191,336.8363283128063,171.43927598417108,1204.540086708655,5020.296677184183,6000.0,0
large,QGA,0,13315.503831339958,3.142351399641484,216.8955508471731,343.00339311762554,225.93329541665722,2197.468730448737,4861.499648449016,6000.0,0
large,QGA,1,12327.650387802554,2.9502189001068473,182.37367485256016,325.4509803859657,325.1503235259447,866.8175927085265,5206.980598846768,6000.0,0
large,QGA,2,12873.641216253189,2.7814917997457087,202.67789015064793,358.8891928895878,289.99876440004306,1316.6329029452759,5290.002857485705,6000.0,0
large,QGA,3,13661.584522735066,2.756841099821031,208.03001815554165,343.7805889120203,200.31717904961175,1973.466216436911,5440.905684736855,6000.0,0
large,QGA,4,13063.31377566132,2.7291294001042843,173.93303743304156,315.2854947203316,179.67608843110784,1430.262994390212,5415.563396452266,6000.0,0
large,QGA,5,12681.353501579775,2.7841094001196325,214.2806903952638,324.02834953104286,325.6583818921495,1763.0743364304535,4648.798638713946,6000.0,0
large,QGA,6,12577.05092848984,2.7007637000642717,185.27108193739159,323.93385860649045,231.27261327789273,1739.6746820290318,4601.3060252545865,6000.0,0
large,QGA,7,12777.895532832143,2.7739325002767146,186.49637945482576,349.4974662148011,210.27148082063331,885.8674727130349,5651.876334363127,6000.0,0
large,QGA,8,12989.887927813004,2.7906690002419055,181.4421460255264,333.8693266456106,196.32674502220715,891.8926263015741,5867.848081500543,6000.0,0
large,QGA,9,13388.484553830158,2.8281470998190343,232.5214351135487,308.9017861883748,221.9305661640852,2500.561299658869,4634.605887525186,6000.0,0
large,Q2GA,0,12309.543867157201,6.039511799812317,187.53474435293518,381.92595347448145,206.85537871961773,1033.3040236100753,5026.523609584389,6000.0,0
large,Q2GA,1,12199.953072934732,5.948609000071883,181.07543665874414,329.3008370746811,336.817320607116,1086.0736416765087,4857.187997685022,6000.0,0
large,Q2GA,2,12149.678129964897,5.891345200128853,180.92212203339986,324.7053959562644,204.97318248898358,820.0177599651621,5100.79305369836,6000.0,0
large,Q2GA,3,12496.731698516985,5.87227929988876,200.98092916090087,310.2799657064316,196.16012033653513,1120.6686492053636,5143.256570951934,6000.0,0
large,Q2GA,4,12470.942403556695,6.122916100081056,166.3865602782563,315.4757792254875,255.5332850350527,1118.4845106477933,5123.515221995116,6000.0,0
large,Q2GA,5,13082.335339467885,6.0731148002669215,235.84421543987193,353.4387543928194,229.65016345515582,1923.5842745699179,4888.867298169154,6000.0,0
large,Q2GA,6,12740.398003016802,6.100924599915743,190.41684378274078,353.5083683644606,268.85079654078964,1516.4968795277687,4968.870031780168,6000.0,0
large,Q2GA,7,12481.70679938774,5.993165600113571,175.6779854932336,338.72505261544694,158.38337893205383,1064.9278045485976,5195.6458105214815,6000.0,0
large,Q2GA,8,13358.780363191,6.077202399726957,262.75355780491975,332.2754663233585,277.8301324662175,2572.5125879903144,4499.642329907973,6000.0,0
large,Q2GA,9,12811.705325310832,6.085042499937117,182.56120630982696,331.1978639840952,306.76312722583276,980.0473350154862,5579.665402500036,6000.0,0
