epsilon_start,base_delta_theta_mult,mean_fitness,std_fitness,mean_runtime,norm_fitness,norm_std,norm_runtime,mcdm_score,rank
0.3,0.05,859.5985609063093,197.2611855236201,4.057007779926062,0.0,0.6666472829450834,1.0,0.3333294565890167,1
0.2,0.05,963.425236809691,201.82042058994497,3.332648299820721,0.35537396555453965,0.7016016655974591,0.11130327190611339,0.3758053668334383,2
0.1,0.03,995.0522168497416,110.3078069015305,3.729119080025703,0.4636255802533108,0.0,0.5977223701993503,0.39771982219185653,3
0.2,0.03,1014.6397624171605,153.24456780897535,3.460233619995415,0.53066908023256,0.3291841611102071,0.2678341929559387,0.4378051189527651,4
0.1,0.07,1058.874313220536,240.7416672751167,3.241927159950137,0.6820734047642218,1.0,0.0,0.6092440428585331,5
0.1,0.05,1122.6427803113738,155.92866856783084,3.406970899924636,0.9003376690318514,0.34976241242599077,0.2024876262907266,0.6506526091624543,6
0.2,0.07,1086.4966986398724,227.46481526056152,3.407197459973395,0.7766182465318643,0.8982100815192631,0.20276558658472266,0.6861660815399157,7
0.3,0.07,1133.3879618831022,212.5004673569791,3.6400945400819182,0.9371158645439771,0.783482603081365,0.4885006100912347,0.8166661613609062,8
0.3,0.03,1151.7603002767396,220.26733476224982,3.7580662401393057,1.0,0.8430290075427909,0.6332368449692912,0.8952531705024165,9
