algorithm,pc,pm,mean_fitness,std_fitness,mean_runtime,norm_fitness,norm_std,norm_runtime,mcdm_score,rank,T0,alpha,delta_theta_mult,epsilon_start,base_delta_theta_mult
GA,0.85,0.1,1256.6588900505897,180.41809612794663,1.5781575999222697,0.0,0.3365579882313021,0.0,0.06731159764626042,1.0,,,,,
SA,,,1121.1906832824,331.7487354354529,1.6259437998756767,0.0,1.0,0.18307446106752112,0.23661489221350424,1.0,10.0,0.97,,,
QGA,,,1077.176938676997,171.29104020937896,1.6253945800475775,0.0,0.3847282312246956,0.40221016997517883,0.1573876802399749,1.0,,,0.08,,
Q2GA,,,859.5985609063093,197.2611855236201,4.057007779926062,0.0,0.6666472829450834,1.0,0.3333294565890167,1.0,,,,0.3,0.05
