delta_theta_mult,mean_fitness,std_fitness,mean_runtime,norm_fitness,norm_std,norm_runtime,mcdm_score,rank
0.08,1077.176938676997,171.29104020937896,1.6253945800475775,0.0,0.3847282312246956,0.40221016997517883,0.1573876802399749,1
0.05,1078.9774070457572,199.55844959925025,1.71015629991889,0.00404771555166452,1.0,1.0,0.40242862933099877,2
0.02,1521.9879304028914,153.6154845154834,1.5683644600212574,1.0,0.0,0.0,0.6,3
