size,algorithm,seed,generation,best_fitness
small,GA,1,31,1298.2702947116722
small,GA,1,32,1298.2702947116722
small,GA,1,33,1297.747049110714
small,GA,1,34,1297.747049110714
small,GA,1,35,1297.747049110714
small,GA,1,36,1297.747049110714
small,GA,1,37,1297.747049110714
small,GA,1,38,1297.747049110714
small,GA,1,39,1297.747049110714
small,GA,1,40,1297.747049110714
small,GA,1,41,1297.747049110714
small,GA,1,42,1297.747049110714
small,GA,1,43,1297.747049110714
small,GA,1,44,1297.747049110714
small,GA,1,45,1297.747049110714
small,GA,1,46,1297.747049110714
small,GA,1,47,1297.747049110714
small,GA,1,48,1297.747049110714
small,GA,1,49,1297.747049110714
small,GA,2,0,1503.0030867169194
small,GA,2,1,1305.1756797436838
small,GA,2,2,1305.1756797436838
small,GA,2,3,1305.1756797436838
small,GA,2,4,1305.1756797436838
small,GA,2,5,1305.1756797436838
small,GA,2,6,1305.1756797436838
small,GA,2,7,1305.1756797436838
small,GA,2,8,1305.1756797436838
small,GA,2,9,1214.835940899888
small,GA,2,10,1126.1726402013787
small,GA,2,11,763.048436190848
small,GA,2,12,763.048436190848
small,GA,2,13,763.048436190848
small,GA,2,14,756.6856414691638
small,GA,2,15,756.6856414691638
small,GA,2,16,756.6856414691638
small,GA,2,17,756.6856414691638
small,GA,2,18,756.6856414691638
small,GA,2,19,756.6856414691638
small,GA,2,20,756.6856414691638
small,GA,2,21,756.6856414691638
small,GA,2,22,756.6856414691638
small,GA,2,23,756.6856414691638
small,GA,2,24,756.6856414691638
small,GA,2,25,756.6856414691638
small,GA,2,26,725.021176336707
small,GA,2,27,633.6268898115272
small,GA,2,28,633.6268898115272
small,GA,2,29,633.6268898115272
small,GA,2,30,633.6268898115272
small,GA,2,31,633.6268898115272
small,GA,2,32,633.6268898115272
small,GA,2,33,633.6268898115272
small,GA,2,34,633.6268898115272
small,GA,2,35,633.6268898115272
small,GA,2,36,633.6268898115272
small,GA,2,37,633.6268898115272
small,GA,2,38,633.6268898115272
small,GA,2,39,633.6268898115272
small,GA,2,40,633.6268898115272
small,GA,2,41,633.6268898115272
small,GA,2,42,633.6268898115272
small,GA,2,43,633.6268898115272
small,GA,2,44,633.6268898115272
small,GA,2,45,633.6268898115272
small,GA,2,46,633.6268898115272
small,GA,2,47,633.6268898115272
small,GA,2,48,633.6268898115272
small,GA,2,49,633.6268898115272
small,GA,3,0,1542.0270565020953
small,GA,3,1,1418.9483070570927
small,GA,3,2,1295.7888844572055
