param,value,algorithm,seed,best_fitness,C1,C2,C3,penalty1,penalty2,infeasibility,n_unserved
gamma_frac,0.2,SA,2,1246.3563958266705,114.35731843735512,243.0809610842771,152.23724408852854,92.8552882803686,992.9507111846356,0.0,0
gamma_frac,0.2,SA,3,1380.8520898309207,102.13086954525293,225.35511926162172,157.1112225696596,31.905820750589804,1198.852054015286,0.0,0
gamma_frac,0.2,SA,4,1250.4932571188174,119.48584479727664,245.07483662327186,165.44372973091936,78.08630923209101,1006.0528285549226,0.0,0
gamma_frac,0.2,QGA,0,1062.8373534121438,90.74866395256697,256.6304603679324,268.096115840957,0.0,886.8546601572892,0.0,0
gamma_frac,0.2,QGA,1,873.1900681529567,90.74866395256697,231.4254520725221,203.75321715800646,0.0,717.6374571233152,0.0,0
gamma_frac,0.2,QGA,2,1387.9007782556196,130.23693948811035,235.0778607526288,225.0028331846844,198.66291469242228,1008.5954689564167,0.0,0
gamma_frac,0.2,QGA,3,1204.729446388217,95.82151893015839,235.66283296209298,162.95876007059385,118.28758929480216,935.240495725589,0.0,0
gamma_frac,0.2,QGA,4,866.2293890198487,94.14617450922601,224.90439078769518,263.6588782615426,0.0,698.9532088766186,0.0,0
gamma_frac,0.2,Q2GA,0,946.9613529456958,95.82151893015839,217.57406569299695,179.30438120608534,118.28758929480216,679.6299082366983,0.0,0
gamma_frac,0.2,Q2GA,1,858.2370582656956,72.57914164715734,210.1335526256093,279.4370539519469,0.0,703.0200108640447,0.0,0
gamma_frac,0.2,Q2GA,2,656.3199005734937,94.14617450922601,200.12942649169563,265.827382391924,0.0,496.0425088929872,0.0,0
gamma_frac,0.2,Q2GA,3,1122.6149088373681,88.40309131558246,224.04060135840558,223.70546755880636,0.0,966.460089260294,0.0,0
gamma_frac,0.2,Q2GA,4,1232.9929634262012,112.19419402305103,251.56458514345744,166.70450330395832,82.03966620884813,986.0459240019986,0.0,0
gamma_frac,0.3,GA,0,1529.7259304016902,124.89984385837117,250.27026291780126,180.542945372126,217.74752722003797,1138.338813302701,0.0,0
gamma_frac,0.3,GA,1,1162.5132844660052,104.9402789165437,243.50190031196502,167.2405687874799,72.17961183458911,931.3648493220587,0.0,0
gamma_frac,0.3,GA,2,1457.6536814630927,130.24478504608732,223.21704618395995,196.3479170477854,131.88101047614438,1154.4155811991595,0.0,0
gamma_frac,0.3,GA,3,1539.0851616191712,88.40309131558246,243.7892645689273,200.72498714844915,0.0,1381.6018391610119,0.0,0
gamma_frac,0.3,GA,4,2286.383136225003,159.34989825829143,248.54897361167417,151.0202276078308,590.3069234350368,1511.6325260557524,0.0,0
gamma_frac,0.3,SA,0,1271.4908922287655,114.35731843735512,251.55614761574304,156.2663472102344,211.14287757517076,896.4492417081474,0.0,0
gamma_frac,0.3,SA,1,789.983072942422,86.77075661113408,220.71325679566291,182.33149824304604,0.0,643.9174179495469,0.0,0
gamma_frac,0.3,SA,2,1208.2263129259263,86.77075661113408,233.44422941764338,160.54238112546628,0.0,1062.699189569973,0.0,0
gamma_frac,0.3,SA,3,1424.9948469971546,116.84314041249503,245.48777872351548,159.03573503334326,105.4671750868003,1155.6526210803836,0.0,0
gamma_frac,0.3,SA,4,1218.1879947589132,88.40309131558246,239.72708321222692,156.75916195619496,0.0,1070.7164917462148,0.0,0
gamma_frac,0.3,QGA,0,1343.5225294471545,86.77075661113408,243.08509077151794,309.51076441017176,0.0,1165.3094710280977,0.0,0
gamma_frac,0.3,QGA,1,977.2882754033772,90.74866395256697,239.95379613641632,229.3815127491306,30.060330748239892,783.9911712881028,0.0,0
gamma_frac,0.3,QGA,2,1235.551929430851,112.72498373290672,239.88147136565033,177.08272353069415,202.98120405292883,868.8272473956349,0.0,0
gamma_frac,0.3,QGA,3,843.2177511606101,122.67499928941015,211.74397610534675,252.69925354273013,94.03208169275857,573.7851262829964,0.0,0
gamma_frac,0.3,QGA,4,962.5297621319013,105.32666575625926,207.3216031544115,188.36025419110376,211.33903504179708,598.6588624274303,0.0,0
gamma_frac,0.3,Q2GA,0,826.2649194804966,114.35731843735512,204.90654463127976,230.24305332410805,92.8552882803686,568.7103979272449,0.0,0
gamma_frac,0.3,Q2GA,1,1156.7661994524683,95.38747429486295,239.40050760226967,231.56247969370142,89.46346590022642,901.4763481853892,0.0,0
gamma_frac,0.3,Q2GA,2,1146.1147603397874,119.48584479727664,226.63421390249007,208.84644474070063,111.10770680206706,865.5045780201949,0.0,0
gamma_frac,0.3,Q2GA,3,1047.3628883596184,90.74866395256697,228.92064237804954,241.96683393202616,0.0,884.9189968835149,0.0,0
