algorithm,seed,best_fitness,runtime_s,C1,C2,C3,penalty1,penalty2,infeasibility,n_unserved
GA,0,3313.2509182328185,0.9969822000712156,94.59006213036054,154.29610793354163,193.21616851559153,14.41663523294519,166.60718585151227,3000.0,0
GA,1,3507.7536308696986,1.0388888004235923,112.26012446420845,146.5685636693677,226.20156434185205,102.7669469021847,259.6457397662291,3000.0,0
GA,2,3391.9770774574754,1.1244761999696493,106.26804081724278,123.97133065578421,178.68269719725532,90.23751506541467,175.67760334725307,3000.0,0
GA,3,3325.3990220102687,1.1561483000405133,108.23039423241498,140.76752059920526,189.05545499531783,100.04928214127568,91.19319557396045,3000.0,0
GA,4,3215.2950018632787,1.1584453000687063,97.21315810134877,144.73690038161155,176.52737757549932,27.532115087886275,60.42976209513465,3000.0,0
GA,5,3613.4884596801553,1.2324403999373317,106.26804081724278,167.33155744153615,185.47297745678281,90.23751506541467,382.82286148230173,3000.0,0
GA,6,3443.2818090246246,1.1994059002026916,112.26012446420845,152.70460468523558,172.99501206419666,178.5878267346542,128.15353623945634,3000.0,0
GA,7,3263.4882932376563,1.2404881999827921,94.59006213036054,155.0464807561004,209.4983982102749,14.41663523294519,113.36300307064592,3000.0,0
GA,8,3348.9323572895755,1.1520656999200583,106.26804081724278,151.06941620606165,193.1360731548009,90.23751506541467,121.61278232276065,3000.0,0
GA,9,3452.8844555202127,1.1398824001662433,112.26012446420845,161.86969896474304,198.17957664005053,188.3995938105152,120.15797446016015,3000.0,0
SA,0,3456.2230435635406,1.1761508001945913,106.26804081724278,152.70460468523558,207.78126510597033,183.9000717794994,131.82131694865495,3000.0,0
SA,1,3305.931426678465,1.19451309973374,108.23039423241498,118.9003326355444,186.17216994924027,113.16476199621678,65.74693378552935,3000.0,0
SA,2,3238.5095480149425,1.23105589998886,97.21315810134877,121.87188752695644,191.08063625176842,27.532115087886275,87.59316036794137,3000.0,0
SA,3,3269.5726036976116,1.2453351998701692,108.23039423241498,127.11323948864936,187.57697881060824,100.04928214127568,39.75875683141214,3000.0,0
SA,4,3213.3944544954084,1.151525099761784,97.21315810134877,127.11323948864936,209.99012710673873,27.532115087886275,57.12376308890494,3000.0,0
SA,5,3309.76249395231,1.2483493001200259,108.23039423241498,132.1814679014453,191.66503320218385,100.04928214127568,77.61056768395633,3000.0,0
SA,6,3198.9324209237975,1.2518782997503877,94.59006213036054,123.97133065578421,194.1865602425039,14.41663523294519,61.19204338043612,3000.0,0
SA,7,3326.7710872904054,1.2552678999491036,108.23039423241498,131.0427329134534,189.2498934270879,113.16476199621678,82.32832961852752,3000.0,0
SA,8,3258.0481813808456,1.4279402000829577,97.21315810134877,141.02824130367514,187.73239861229274,27.532115087886275,102.05453512872366,3000.0,0
SA,9,3279.559981933143,1.4577450002543628,112.26012446420845,125.99764578742432,185.50779989235045,102.7669469021847,45.76211908415641,3000.0,0
QGA,0,3353.1960761396904,1.2077143997885287,112.26012446420845,124.36604073462317,193.34732986995365,178.5878267346542,42.49890897855414,3000.0,0
QGA,1,3458.6956966994144,1.1567267002537847,108.23039423241498,140.73863672558628,205.14803033964165,100.04928214127568,221.28002035632693,3000.0,0
QGA,2,3331.147300192088,1.1415220000781119,108.23039423241498,125.99764578742432,203.97131992669816,113.16476199621678,85.27378335809708,3000.0,0
QGA,3,3265.922441990535,1.1302277999930084,112.26012446420845,117.90250774455015,184.27738549723983,102.7669469021847,34.799203433432766,3000.0,0
QGA,4,3193.0789124593525,1.1369043998420238,97.21315810134877,124.36604073462317,185.65748560925329,27.532115087886275,42.49890897855414,3000.0,0
QGA,5,3327.364673227975,1.12332129990682,112.26012446420845,151.59641883106391,208.35690560898678,102.7669469021847,81.31735732256925,3000.0,0
