param,value,algorithm,seed,best_fitness,C1,C2,C3,penalty1,penalty2,infeasibility,n_unserved
mttr,2.0,Q2GA,0,3301.116058418818,108.23039423241498,125.37674704322525,181.23841468997864,113.16476199621678,59.975392255430265,3000.0,0
mttr,2.0,Q2GA,1,3181.6222877675323,94.59006213036054,117.67273565281728,275.1847888757685,14.41663523294519,29.5718429984081,3000.0,0
mttr,2.0,Q2GA,2,3222.6616851334725,97.21315810134877,132.50434410549286,207.6350705977382,27.532115087886275,65.2446736437163,3000.0,0
mttr,2.0,Q2GA,3,3194.2444993496533,94.59006213036054,121.64211543522357,195.2439574299099,14.41663523294519,56.99140693497864,3000.0,0
mttr,2.0,Q2GA,4,3360.779773108563,106.26804081724278,158.9923753320419,162.83650927731804,103.35299492035577,124.02774332450979,3000.0,0
mttr,5.0,Q2GA,0,3302.966564536182,108.23039423241498,125.46291157762508,190.3616984752004,113.16476199621678,59.975392255430265,3000.0,0
mttr,5.0,Q2GA,1,3183.9662722308935,94.59006213036054,117.75890018721711,286.77546439097455,14.41663523294519,29.5718429984081,3000.0,0
mttr,5.0,Q2GA,2,3222.614476231256,97.21315810134877,132.59050863989268,207.2697792850577,27.532115087886275,65.2446736437163,3000.0,0
mttr,5.0,Q2GA,3,3195.5651289631114,94.59006213036054,125.46291157762508,181.58472377035952,14.41663523294519,59.89764443762674,3000.0,0
mttr,5.0,Q2GA,4,3364.6423792010382,106.26804081724278,159.07853986644173,181.15864759409635,103.35299492035577,124.20007239330947,3000.0,0
mttr,10.0,Q2GA,0,3295.9646767849486,108.23039423241498,119.45298093132484,216.99083340226613,113.16476199621678,49.45065671267345,3000.0,0
mttr,10.0,Q2GA,1,3205.171280867793,94.59006213036054,125.99764578742432,202.07823594862063,14.41663523294519,65.2446736437163,3000.0,0
mttr,10.0,Q2GA,2,3218.425870958358,97.21315810134877,132.73411619722575,186.11134158456565,27.532115087886275,65.2446736437163,3000.0,0
mttr,10.0,Q2GA,3,3210.2335317184193,94.59006213036054,123.35009424645605,207.14419855984227,14.41663523294519,70.08799743438837,3000.0,0
mttr,10.0,Q2GA,4,3365.297942870256,106.26804081724278,159.22214742377477,182.78497903085415,103.35299492035577,124.48728750797555,3000.0,0
mttr,15.0,Q2GA,0,3295.862405447881,108.23039423241498,119.45298093132484,216.4794767169285,113.16476199621678,49.45065671267345,3000.0,0
mttr,15.0,Q2GA,1,3212.682759083279,94.59006213036054,126.14125334475736,261.85535610681876,14.41663523294519,60.75764556036263,3000.0,0
mttr,15.0,Q2GA,2,3220.068110478667,97.21315810134877,132.8777237545588,194.10712785011373,27.532115087886275,65.2446736437163,3000.0,0
mttr,15.0,Q2GA,3,3205.750113667883,94.59006213036054,126.14125334475736,204.76573955207957,14.41663523294519,65.24292345591437,3000.0,0
mttr,15.0,Q2GA,4,3360.014339898069,106.26804081724278,159.36575498110784,207.3353400451,103.35299492035577,114.25053006573924,3000.0,0
mttr,20.0,Q2GA,0,3293.117117053055,108.23039423241498,119.45298093132484,202.75303474279903,113.16476199621678,49.45065671267345,3000.0,0
mttr,20.0,Q2GA,1,3210.896608493264,94.59006213036054,145.0005932948276,223.6380814256166,14.41663523294519,60.957147921566744,3000.0,0
mttr,20.0,Q2GA,2,3222.6457535664495,97.21315810134877,133.02133131189186,206.77993195302605,27.532115087886275,65.2446736437163,3000.0,0
mttr,20.0,Q2GA,3,3241.1839380147317,94.59006213036054,155.59912905188085,243.7953895324772,14.41663523294519,84.03345509454658,3000.0,0
mttr,20.0,Q2GA,4,3361.013295540077,106.26804081724278,159.50936253844088,210.67863134581097,103.35299492035577,114.53774518040535,3000.0,0
mttr,30.0,Q2GA,0,3299.497673815088,108.23039423241498,114.85517058978212,219.11739364851024,113.16476199621678,53.93768479602711,3000.0,0
mttr,30.0,Q2GA,1,3233.8630689747297,94.59006213036054,122.44631775628865,284.3051908455886,14.41663523294519,78.55646918059972,3000.0,0
mttr,30.0,Q2GA,2,3230.418354791151,97.21315810134877,133.30854642655794,245.2121154045342,27.532115087886275,65.2446736437163,3000.0,0
mttr,30.0,Q2GA,3,3219.6133353273244,94.59006213036054,128.21709472692575,201.84042060933427,14.41663523294519,79.06845648925439,3000.0,0
mttr,30.0,Q2GA,4,3365.96538810946,106.26804081724278,159.796577653107,232.1361203740649,103.35299492035577,115.11217540973755,3000.0,0
